Mass;Isotope;Concentration;Signal;Baseline;Conso;Ratio;pH;Masse
2;H2;7.83E+02;1.09E-11;5.14E-14;0.2;0;1;28
3;HD;8.26E+02;3.86E-11;5.00E-15;2.04E-01;0;;
4;D2;8.94E+02;4.89E-11;4.00E-14;1.90E-01;0;;
18;H2O;1;25;1;1;0;;
28;N2;5.00E+02;5.85E-11;2.12E-12;3.36E-02;0;;
30;NO;1.76E+03;2.03E-10;7.00E-15;4.09E-02;0.311;;5,2
31;EtOH;1;23;1;1;0.2241;;
31;MetOH;1;3;1;1;0.2241;;
32;O2;2.65E+02;3.65E-11;9.84E-13;6.84E-02;0;;
34;H2S;1;10;1;1;0;;
36;18O2;2.65E+02;2.62E-11;0;6.51E-02;0;;
40;Ar;1.20E+01;1.61E-12;3.00E-14;3.98E-02;0;;
44;CO2;1.07E+01;5.12E-13;3.90E-14;0;0.0871;;
44;N2O;2.50E+04;1.06E-09;3.90E-14;0.0140477;0.0871;;
45;13CO2;1.29E+01;4.03E-13;1.00E-15;0.00E+00;0;;
47;13C18OO;1.29E+01;4.03E-13;1.00E-15;0.00E+00;0;;
49;13C18O2;1.29E+01;4.03E-13;1.00E-15;0.00E+00;0;;
